variationId,reasonId,quantityj,storageLocationId
1587,301,83,0
1722,301,2,0
1689,301,70,0
1688,301,51,0
1684,301,36,0
1686,301,10,0
1692,301,178,0
1693,301,19,0
1653,301,102,0
1650,301,73,0
1648,301,9,0
1492,301,16,0
1695,301,33,0
1644,301,1,0
1694,301,30,0
1513,301,64,0
1646,301,30,0
1643,301,2,0
1635,301,60,0
1642,301,0,0
1496,301,1,0
1630,301,23,0
1639,301,131,0
1628,301,16,0
1691,301,15,0
1647,301,71,0
1625,301,130,0
1652,301,19,0
1636,301,11,0
1634,301,35,0
1645,301,249,0
1631,301,19,0
1640,301,158,0
1623,301,0,0
1624,301,29,0
1638,301,30,0
1620,301,0,0
1637,301,124,0
1633,301,82,0
1632,301,11,0
1629,301,64,0
1619,301,19,0
1580,301,22,0
1579,301,2,0
1578,301,2,0
1591,301,4,0
1585,301,24,0
1581,301,1,0
1468,301,0,0
1587,301,83,0
